antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'sausage'}),"frozenset({'yogurt', 'whole milk'})",0.06034886052262247,0.011160863463209249,0.0014702933903628951,0.024363233665559245,2.1829165589087607,0.0007967479979096469,1.0135320548158027
"frozenset({'yogurt', 'whole milk'})",frozenset({'sausage'}),0.011160863463209249,0.06034886052262247,0.0014702933903628951,0.1317365269461078,2.1829165589087607,0.0007967479979096469,1.082218898570497
"frozenset({'sausage', 'whole milk'})",frozenset({'yogurt'}),0.008955423377664907,0.08587850030074183,0.0014702933903628951,0.16417910447761194,1.9117602648237413,0.000701215061130829,1.0936810799973267
frozenset({'yogurt'}),"frozenset({'sausage', 'whole milk'})",0.08587850030074183,0.008955423377664907,0.0014702933903628951,0.017120622568093383,1.911760264823741,0.000701215061130829,1.0083074275215367
frozenset({'citrus fruit'}),frozenset({'specialty chocolate'}),0.05313105660629553,0.015972732740760543,0.001403461872619127,0.02641509433962264,1.6537617431120233,0.0005548137052125488,1.0107256814872034
frozenset({'specialty chocolate'}),frozenset({'citrus fruit'}),0.015972732740760543,0.05313105660629553,0.001403461872619127,0.08786610878661087,1.6537617431120233,0.0005548137052125488,1.0380810893169512
"frozenset({'sausage', 'yogurt'})",frozenset({'whole milk'}),0.005747510525964045,0.15792287642852368,0.0014702933903628951,0.2558139534883721,1.6198663504217148,0.0005626299957994361,1.1315411347991713
frozenset({'whole milk'}),"frozenset({'sausage', 'yogurt'})",0.15792287642852368,0.005747510525964045,0.0014702933903628951,0.009310198899703767,1.6198663504217146,0.0005626299957994361,1.0035961694263764
frozenset({'tropical fruit'}),frozenset({'flour'}),0.0677671589921807,0.009757401590590123,0.0010693042839002875,0.01577909270216963,1.6171408500175628,0.00040807289896020976,1.0061182312496408
frozenset({'flour'}),frozenset({'tropical fruit'}),0.009757401590590123,0.0677671589921807,0.0010693042839002875,0.10958904109589042,1.6171408500175626,0.00040807289896020976,1.0469691906703202
frozenset({'beverages'}),frozenset({'sausage'}),0.016574216400454454,0.06034886052262247,0.0015371249081066632,0.09274193548387098,1.5367636551995143,0.0005368898342838755,1.0357043670683983
frozenset({'sausage'}),frozenset({'beverages'}),0.06034886052262247,0.016574216400454454,0.0015371249081066632,0.02547065337763012,1.536763655199514,0.0005368898342838755,1.0091289574890792
frozenset({'sausage'}),"frozenset({'soda', 'whole milk'})",0.06034886052262247,0.011628684087415625,0.0010693042839002875,0.017718715393134,1.5237076921118624,0.00036752644984720253,1.0061998853089782
"frozenset({'soda', 'whole milk'})",frozenset({'sausage'}),0.011628684087415625,0.06034886052262247,0.0010693042839002875,0.09195402298850576,1.5237076921118622,0.00036752644984720253,1.0348056852472385
frozenset({'pastry'}),frozenset({'napkins'}),0.0517275947336764,0.022121232373187194,0.0017376194613379669,0.03359173126614987,1.5185289272972826,0.0005933413181282571,1.0118692060737342
frozenset({'napkins'}),frozenset({'pastry'}),0.022121232373187194,0.0517275947336764,0.0017376194613379669,0.07854984894259819,1.5185289272972826,0.0005933413181282571,1.0291087414529612
frozenset({'processed cheese'}),frozenset({'root vegetables'}),0.01015839069705273,0.06957160997126245,0.0010693042839002875,0.10526315789473686,1.5130188583851563,0.00036256868838923403,1.0398905535615302
frozenset({'root vegetables'}),frozenset({'processed cheese'}),0.06957160997126245,0.01015839069705273,0.0010693042839002875,0.015369836695485112,1.5130188583851563,0.00036256868838923403,1.0052927953993835
frozenset({'pip fruit'}),frozenset({'hard cheese'}),0.049054334023925686,0.01470293390362895,0.0010693042839002875,0.021798365122615806,1.4825860787713652,0.0003480616530599713,1.0072535466779058
frozenset({'hard cheese'}),frozenset({'pip fruit'}),0.01470293390362895,0.049054334023925686,0.0010693042839002875,0.07272727272727274,1.482586078771365,0.0003480616530599713,1.0255296397781195
frozenset({'yogurt'}),frozenset({'soft cheese'}),0.08587850030074183,0.010024727661565194,0.0012697988371315912,0.014785992217898832,1.4749520103761349,0.0004088902596330097,1.0048327211334034
frozenset({'soft cheese'}),frozenset({'yogurt'}),0.010024727661565194,0.08587850030074183,0.0012697988371315912,0.12666666666666665,1.4749520103761347,0.0004088902596330097,1.0467040072892269
frozenset({'curd'}),frozenset({'sausage'}),0.03368308494285905,0.06034886052262247,0.0029405867807257902,0.08730158730158731,1.446615338641917,0.0009078509855375443,1.0295308136882573
frozenset({'sausage'}),frozenset({'curd'}),0.06034886052262247,0.03368308494285905,0.0029405867807257902,0.04872646733111849,1.4466153386419167,0.0009078509855375443,1.0158139398097767
frozenset({'yogurt'}),frozenset({'detergent'}),0.08587850030074183,0.008621265788946068,0.0010693042839002875,0.012451361867704281,1.4442614544686756,0.00032892290725150737,1.0038783872822727
frozenset({'detergent'}),frozenset({'yogurt'}),0.008621265788946068,0.08587850030074183,0.0010693042839002875,0.12403100775193798,1.4442614544686756,0.00032892290725150737,1.043554632400038
frozenset({'sugar'}),frozenset({'bottled water'}),0.01771035220209851,0.06068301811134131,0.0014702933903628951,0.0830188679245283,1.368074141800349,0.00039557576692471775,1.0243580255164384
frozenset({'bottled water'}),frozenset({'sugar'}),0.06068301811134131,0.01771035220209851,0.0014702933903628951,0.024229074889867842,1.368074141800349,0.00039557576692471775,1.006680587133741
frozenset({'white bread'}),frozenset({'canned beer'}),0.023992514870012697,0.04691572545612511,0.0015371249081066632,0.06406685236768803,1.3655730939853503,0.0004114986674631483,1.0183251623846759
frozenset({'canned beer'}),frozenset({'white bread'}),0.04691572545612511,0.023992514870012697,0.0015371249081066632,0.03276353276353276,1.3655730939853503,0.0004114986674631483,1.0090681215924169
frozenset({'brown bread'}),frozenset({'canned beer'}),0.03762614448974136,0.04691572545612511,0.0024059346387756467,0.06394316163410303,1.3629366489046777,0.0006406767739224465,1.0181906006986747
frozenset({'canned beer'}),frozenset({'brown bread'}),0.04691572545612511,0.03762614448974136,0.0024059346387756467,0.05128205128205129,1.3629366489046775,0.0006406767739224465,1.0143940639162186
frozenset({'chewing gum'}),frozenset({'yogurt'}),0.012029673193878232,0.08587850030074183,0.001403461872619127,0.11666666666666667,1.358508430609598,0.0003703715796208294,1.0348545279614243
frozenset({'yogurt'}),frozenset({'chewing gum'}),0.08587850030074183,0.012029673193878232,0.001403461872619127,0.016342412451361865,1.3585084306095978,0.0003703715796208294,1.0043843907799574
"frozenset({'rolls/buns', 'whole milk'})",frozenset({'sausage'}),0.013967787208447505,0.06034886052262247,0.0011361358016440553,0.08133971291866028,1.3478251654506244,0.0002931957595917866,1.022849417451937
frozenset({'sausage'}),"frozenset({'rolls/buns', 'whole milk'})",0.06034886052262247,0.013967787208447505,0.0011361358016440553,0.018826135105204873,1.3478251654506244,0.0002931957595917866,1.0049515667615936
"frozenset({'sausage', 'rolls/buns'})",frozenset({'whole milk'}),0.005346521419501437,0.15792287642852368,0.0011361358016440553,0.2125,1.345593525179856,0.0002917977601896749,1.0693042839002875
frozenset({'whole milk'}),"frozenset({'sausage', 'rolls/buns'})",0.15792287642852368,0.005346521419501437,0.0011361358016440553,0.007194244604316547,1.345593525179856,0.0002917977601896749,1.0018611124832557
frozenset({'sausage'}),frozenset({'sliced cheese'}),0.06034886052262247,0.014034618726191272,0.0011361358016440553,0.018826135105204873,1.34140695037705,0.0002891625536489528,1.004883452923532
frozenset({'sliced cheese'}),frozenset({'sausage'}),0.014034618726191272,0.06034886052262247,0.0011361358016440553,0.08095238095238094,1.3414069503770498,0.0002891625536489528,1.022418338291447
frozenset({'frozen vegetables'}),frozenset({'beef'}),0.028002405934638777,0.03395041101383412,0.0012697988371315912,0.045346062052505964,1.3356557608103283,0.00031910564627437687,1.0119369444630086
